dataset,target_size,algorithm,time,metric1,metric2
Indian Pines,5,BS-Net-FC,59.58,0.5581996984649122,0.4916318069484282
Indian Pines,5,Zhang et al.,152.9,0.5457069322612086,0.4735637721180482
Indian Pines,5,BSDR,0.78,0.7026635599415205,0.6596176796008537
Indian Pines,10,PCAL,0.05,0.5599495157163743,0.4981064494050078
Indian Pines,10,LASSO,0.6,0.6143598471003898,0.5608393256483087
Indian Pines,10,MCUVE,1.84,0.5388972648635477,0.462775629475354
Indian Pines,10,SPA,34.68,0.4913304855019492,0.4216349591202804
Indian Pines,10,BS-Net-FC,59.58,0.5771076998050682,0.518155856675169
Indian Pines,10,Zhang et al.,152.9,0.6603637457358674,0.6127071889719252
Indian Pines,10,BSDR,0.82,0.7356222587719298,0.6983190170534209
Indian Pines,15,PCAL,0.06,0.5336287768031189,0.4687321666443074
Indian Pines,15,LASSO,0.6,0.649646686159844,0.6005207804623252
Indian Pines,15,MCUVE,1.85,0.5533206932261209,0.4849843991232835
Indian Pines,15,SPA,50.54,0.4911275584795321,0.42059769985522
Indian Pines,15,BS-Net-FC,59.58,0.6073381152534113,0.5516017209924119
Indian Pines,15,Zhang et al.,152.9,0.6942921539961013,0.6516217620029316
Indian Pines,15,BSDR,0.86,0.744201921905458,0.7090064802211276
Indian Pines,20,PCAL,0.08,0.5443557352582846,0.4808214049456282
Indian Pines,20,LASSO,0.6,0.6675758406432748,0.6204921114124564
Indian Pines,20,MCUVE,1.87,0.5659912585282652,0.5027261099913103
Indian Pines,20,SPA,67.34,0.5219298245614035,0.454554050910146
Indian Pines,20,BS-Net-FC,59.58,0.6383326480263157,0.586646914707617
Indian Pines,20,Zhang et al.,152.9,0.7190507736354775,0.6797374558798817
Indian Pines,20,BSDR,0.92,0.7444014223927875,0.7086593295803831
Indian Pines,25,PCAL,0.07,0.551570495248538,0.4881768519162887
Indian Pines,25,LASSO,0.6,0.6539283321150097,0.6041453769200813
Indian Pines,25,MCUVE,1.87,0.5792626096491229,0.5205381275321828
Indian Pines,25,SPA,82.45,0.5400695205896686,0.474875794514343
Indian Pines,25,BS-Net-FC,59.58,0.6730377375730995,0.6266189100261191
Indian Pines,25,Zhang et al.,152.9,0.7252935398391813,0.68680092237503
Indian Pines,25,BSDR,0.97,0.7650672362329434,0.7321070883127739
Indian Pines,30,PCAL,0.11,0.5895909478557504,0.5323797343180865
Indian Pines,30,LASSO,0.6,0.6630905062134503,0.6152294157380127
Indian Pines,30,MCUVE,1.88,0.6508155153508772,0.6022142238982294
Indian Pines,30,SPA,96.91,0.569897889254386,0.5084666157310572
Indian Pines,30,BS-Net-FC,59.58,0.6853241502192982,0.640651801318391
Indian Pines,30,Zhang et al.,152.9,0.736799083211501,0.6999013255245469
Indian Pines,30,BSDR,1.01,0.7549235501949318,0.7205456308557563
GHISACONUS,5,All Bands,0.0,0.7184438040345822,0.6060498523346044
GHISACONUS,10,All Bands,0.0,0.7184438040345822,0.6060498523346044
GHISACONUS,15,All Bands,0.0,0.7184438040345822,0.6060498523346044
GHISACONUS,20,All Bands,0.0,0.7184438040345822,0.6060498523346044
GHISACONUS,25,All Bands,0.0,0.7184438040345822,0.6060498523346044
GHISACONUS,30,All Bands,0.0,0.7184438040345822,0.6060498523346044
Indian Pines,5,All Bands,0.0,0.7393255817495126,0.7004461317957016
Indian Pines,10,All Bands,0.0,0.7393255817495126,0.7004461317957016
Indian Pines,15,All Bands,0.0,0.7393255817495126,0.7004461317957016
Indian Pines,20,All Bands,0.0,0.7393255817495126,0.7004461317957016
Indian Pines,25,All Bands,0.0,0.7393255817495126,0.7004461317957016
Indian Pines,30,All Bands,0.0,0.7393255817495126,0.7004461317957016
